Product,Name,Rating,Comments Heading,Comments
mi,Abhishek Saini,5,Excellent,Wow superb I love it❤️👍 battery backup so nice 👍👍
mi,Dinesh Kumar Sahni,4,Worth the money,Mobile So Good In Range Redmi 9a Has Miui 12 Latest Version Nice Phone Display So Good And Battery Was So Very Good
mi,Flipkart Customer,5,Just wow!,Wonderful device and smart phone best camera best bettery and very nice looking nd budget device
mi,Amit Guria,5,Simply awesome,It's has  good looking Android version because the phone work good performance with camera and battery. And I have bought it's in offer time Rs __ 7329 money I have paid
mi,Flipkart Customer,5,Must buy!,"It is a good phone for daily use and it can run free fire,pub g smoothly.its camera is also good"
mi,Girish  Patil,5,Classy product,Worth the price. Battery life is very good. For normal use 2 days. Dedicated memory card is added advantage. Coverage is good. Camera is descent. Overall worth the money
mi,Anil  Sampagao,4,Pretty good,I opted this as secondary phone ... But overall the best smartphone in this price range. Battery is too good & long lasting. Some improvements in camera will add a feather !! Nice phone !!👍
mi,Gurmukh Singh,4,Very Good,Good
mi,Ankit Yadav,5,Wonderful,Good phone
mi,Vikas Chaursiya,4,Value-for-money,It's totally satisfied product in this price.. value for money 🤑💰
mi,No Name,No Rating,No Comment Heading,It's totally satisfied product in this price.. value for money 🤑💰
